City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nar'yan-mar,67.6713,53.087,19.7,62,56,2.81,RU,1690609699
84,moissala,8.3404,17.7663,22.84,88,93,1.42,TD,1690609782
85,keflavik,64.0049,-22.5624,9.24,93,0,3.6,IS,1690609594
86,ramshir,30.8946,49.4092,35.92,18,0,2.63,IR,1690609783
87,lebu,-37.6167,-73.65,11.82,88,100,4.09,CL,1690609783
88,barras,-4.2444,-42.2944,21.99,96,21,1.05,BR,1690609784
89,puerto natales,-51.7236,-72.4875,0.49,93,92,1.99,CL,1690609572
90,qamdo,31.1667,97.2333,15.4,39,66,0.86,CN,1690609784
91,anadyr,64.75,177.4833,13.28,76,20,10.73,RU,1690609785
92,happy valley-goose bay,53.3168,-60.3315,13.17,76,75,2.06,CA,1690609785
93,kailua-kona,19.6406,-155.9956,27.98,79,75,2.06,US,1690609786
94,aioun,16.6614,-9.6149,30.97,50,53,3.75,MR,1690609786
95,papatowai,-46.5619,169.4708,9.22,84,95,1.67,NZ,1690609786
96,isafjordur,66.0755,-23.124,7.15,94,99,3.09,IS,1690609787
97,antsiranana,-12.2787,49.2917,24.42,46,20,9.26,MG,1690609656
98,tabou,4.423,-7.3528,24.66,87,99,4.35,CI,1690609788
99,del rio,29.3627,-100.8968,33.06,44,0,7.72,US,1690609788
100,chibougamau,49.9168,-74.3659,9.79,81,100,4.63,CA,1690609788
101,korla,41.7597,86.1469,26.6,33,100,8.19,CN,1690609789
102,mount isa,-20.7333,139.5,28.87,28,21,3.09,AU,1690609718
103,jilove,50.7608,14.1038,20.77,87,83,1.92,CZ,1690609791
104,dwarka,22.2394,68.9678,28.45,80,88,10.45,IN,1690609791
105,senador jose porfirio,-2.5908,-51.9542,23.95,80,34,1.38,BR,1690609791
106,sirte,31.2089,16.5887,26.02,67,0,3.19,LY,1690609792
107,sturgis,41.7992,-85.4192,22.89,92,75,2.06,US,1690609792
108,hadibu,12.65,54.0333,26.44,73,96,15.19,YE,1690609793
109,tazacorte,28.629,-17.9293,22.54,84,100,5.66,ES,1690609793
110,ust-nera,64.5667,143.2,20.07,34,59,1.04,RU,1690609709
111,quirihue,-36.2833,-72.5333,9.51,82,100,0.93,CL,1690609794
112,enewetak,11.3474,162.3373,28.17,80,99,8.94,MH,1690609794
113,westport,41.1415,-73.3579,27.7,92,0,1.54,US,1690609795
114,qaqortoq,60.7167,-46.0333,6.45,79,99,0.92,GL,1690609629
115,faya-largeau,17.9257,19.1043,33.65,10,43,4.63,TD,1690609795
116,longyearbyen,78.2186,15.6401,6.91,93,75,2.06,SJ,1690609796
117,whitehorse,60.7161,-135.0538,23.43,42,20,3.09,CA,1690609559
118,dhulia,20.9,74.7833,28.45,69,99,6.31,IN,1690609797
119,margaret river,-33.95,115.0667,15.22,72,99,6.81,AU,1690609797
120,hamilton,39.1834,-84.5333,27.78,87,20,4.12,US,1690609701
121,kirakira,-10.4544,161.9205,25.49,90,100,1.12,SB,1690609798
122,san patricio,28.017,-97.5169,29.36,82,54,2.64,US,1690609798
123,kharhial,20.2833,82.7667,32.51,65,100,5.61,IN,1690609798
124,buchanan,5.8808,-10.0467,24.2,91,100,3.51,LR,1690609799
125,akwanga,8.9167,8.3833,21.3,96,100,0.66,NG,1690609799
126,taungoo,18.9333,96.4333,29.72,80,66,2.7,MM,1690609800
127,college,64.8569,-147.8028,26.99,61,75,2.57,US,1690609800
128,east london,-33.0153,27.9116,16.52,82,0,3.6,ZA,1690609801
129,talara,-4.5772,-81.2719,21.51,83,22,5.88,PE,1690609801
130,puerto ayora,-0.7393,-90.3518,24.19,92,76,0.89,EC,1690609802
131,senanga,-16.1167,23.2667,15.86,37,2,3.29,ZM,1690609802
132,geneina,13.45,22.45,25.03,73,64,3.16,SD,1690609803
133,fortuna,40.5982,-124.1573,15.19,100,100,3.09,US,1690609626
134,camana,-16.6228,-72.7111,17.5,81,1,2.73,PE,1690609803
135,invercargill,-46.4,168.35,9.51,87,87,1.59,NZ,1690609804
136,porto murtinho,-21.6989,-57.8825,16.03,93,7,1.94,BR,1690609804
137,massawa,15.6097,39.45,39.11,34,88,1.99,ER,1690609805
138,caleta olivia,-46.4393,-67.5281,10.4,69,69,11.51,AR,1690609805
139,silifke,36.3778,33.9344,31.1,43,0,0.78,TR,1690609805
140,vilyuysk,63.7553,121.6247,25.9,28,1,3.31,RU,1690609806
141,bonthe,7.5264,-12.505,24.6,92,100,4.47,SL,1690609806
142,mugia,43.1041,-9.2179,19.39,91,78,2.0,ES,1690609807
143,broken hill,-31.95,141.4333,20.09,34,2,3.88,AU,1690609735
144,bereznik,62.8551,42.7072,19.94,85,96,2.83,RU,1690609807
145,queenstown,-31.8976,26.8753,15.48,41,71,4.29,ZA,1690609808
146,arys,42.4252,68.795,37.78,16,0,3.23,KZ,1690609809
147,port lincoln,-34.7333,135.8667,16.09,62,0,9.83,AU,1690609809
148,susuman,62.7833,148.1667,17.63,37,79,2.16,RU,1690609809
149,ola,59.5833,151.2833,21.75,74,98,4.64,RU,1690609810
150,los frentones,-26.4077,-61.4137,10.69,65,0,1.91,AR,1690609811
151,saint-pierre,-21.3393,55.4781,23.82,57,0,5.14,RE,1690609811
152,lakatoro,-16.0999,167.4164,22.64,71,94,6.94,VU,1690609811
153,vakarai,55.6035,23.8213,16.29,65,42,2.96,LT,1690609812
154,hasaki,35.7333,140.8333,35.17,73,5,7.26,JP,1690609812
155,ribeira grande,38.5167,-28.7,22.65,93,19,0.89,PT,1690609591
156,nuuk,64.1835,-51.7216,10.34,81,100,4.63,GL,1690609813
157,carbonear,47.7332,-53.2148,15.91,87,34,1.9,CA,1690609759
158,tolanaro,-25.0319,46.9987,21.04,68,20,5.14,MG,1690609694
159,saint-francois,46.4154,3.9054,17.69,94,100,1.03,FR,1690609814
160,maninihon,9.37,122.84,26.26,87,100,5.4,PH,1690609815
161,otradnoye,59.7775,30.8181,16.64,62,60,4.16,RU,1690609815
162,kapuskasing,49.4169,-82.4331,12.0,76,20,2.06,CA,1690609816
163,akureyri,65.6835,-18.0878,8.96,87,100,3.09,IS,1690609816
164,kruisfontein,-34.0033,24.7314,11.6,90,100,1.18,ZA,1690609817
165,christchurch,-43.5333,172.6333,8.28,82,56,3.6,NZ,1690609536
166,oeiras,-7.0253,-42.1311,23.29,56,0,3.86,BR,1690609817
167,renqiu,38.6989,116.0936,25.17,94,100,1.12,CN,1690609818
168,port mathurin,-19.6833,63.4167,23.4,78,8,5.99,MU,1690609818
169,bayji,34.9311,43.487,37.07,21,0,4.74,IQ,1690609819
170,avarua,-21.2078,-159.775,23.03,56,20,2.57,CK,1690609819
171,afaahiti,-17.75,-149.2833,22.93,86,83,9.88,PF,1690609572
172,cabo san lucas,22.8909,-109.9124,31.61,65,90,2.24,MX,1690609592
173,cantanhede,-3.6333,-44.3767,22.66,95,12,1.39,BR,1690609820
174,flying fish cove,-10.4217,105.6791,26.82,73,75,7.72,CX,1690609820
175,polyarnyy,69.1989,33.4478,16.3,77,100,3.59,RU,1690609821
